"Station";"M";"S";"SD";"Train"
23000;1;1;21;1
23034;1;2;2;1
90180;1;34;3;1
9500;1;4;4;1
68241;1;5;5;1
72160;1;6;6;1
15590;3;13;13;1
33295;2;8;26;1
40004;2;9;9;1
41175;1;10;10;1
89085;1;3;11;1
40211;2;12;12;1
17099;3;13;13;1
87113;1;14;14;1
33002;2;8;8;1
9037;3;1;15;1
85279;1;34;14;1
11017;3;16;31;1
58198;2;17;16;1
66137;1;18;5;1
36007;3;7;7;1
54003;1;20;29;1
69134;1;5;17;1
38000;4;7;7;1
40284;2;12;12;1
69139;1;5;10;1
68228;1;17;18;1
10007;3;15;15;1
81123;1;21;19;1
92003;1;3;3;1
9240;1;22;21;1
3030;4;23;1;1
14153;2;24;22;1
70005;1;25;23;1
70328;1;25;23;1
14723;4;24;24;1
38003;4;7;7;1
48245;3;13;13;1
69132;1;26;23;1
9617;1;32;21;1
40913;2;12;12;1
40842;2;12;12;1
47048;3;13;13;1
3003;4;23;1;1
15085;4;27;24;1
9965;1;22;21;1
39128;2;12;12;1
73007;1;6;6;1
95003;1;29;25;1
9603;1;22;21;1
31011;2;30;26;1
66194;1;18;5;1
94010;1;31;3;1
91245;1;31;3;1
26095;1;32;4;1
9518;1;22;4;1
9519;1;22;4;1
90184;1;32;3;1
97000;1;31;3;1
22803;1;33;4;1
32004;2;30;26;1
8025;3;1;15;1
88110;1;21;11;1
18012;3;2;2;1
86361;1;34;14;1
61260;1;18;5;1
14253;2;24;22;1
44021;3;35;9;1
34084;2;8;7;1
21131;1;11;11;1
18116;3;2;2;1
48237;3;13;13;1
48027;3;13;13;1
86383;1;34;27;1
84143;1;28;28;1
50137;3;36;6;1
40717;2;12;16;1
70217;1;25;23;1
70278;1;25;23;1
26091;1;32;11;1
73142;1;6;29;1
74034;1;6;19;1
10536;3;15;31;1
91306;1;29;25;1
10286;3;15;15;1
44026;3;13;13;1
3080;4;23;1;1
15511;3;13;13;1
41522;3;9;9;1
14626;4;27;24;1
82076;1;28;27;1
14015;4;24;22;1
14949;4;27;24;1
6044;3;1;1;1
3032;4;23;1;1
91126;1;3;20;1
9534;1;22;21;1
59140;1;37;28;1
40068;2;12;26;1
14901;4;24;24;1
94020;1;31;20;1
23083;1;2;2;1
22046;1;33;4;1
15131;4;27;24;1
35264;3;19;7;1
6072;4;23;1;1
9789;1;22;4;1
86038;1;14;14;1
24511;1;11;11;1
58212;2;17;16;1
11019;3;16;2;1
83084;5;38;30;1
92012;1;29;25;1
99005;1;3;3;1
65103;3;36;29;1
84016;1;5;3;1
6022;4;23;1;1
84142;1;25;20;1
39123;2;19;8;1
56013;1;26;10;1
56243;1;26;23;1
20028;3;39;31;1
40764;2;12;16;1
10058;3;15;15;1
58077;2;12;12;1
73014;1;6;6;1
14518;4;24;22;1
62013;1;20;29;1
73141;1;6;6;1
56229;1;26;23;1
90173;1;3;11;1
94191;5;40;32;1
75032;3;36;6;1
94029;1;3;20;1
94008;1;3;20;1
9961;1;33;2;1
27058;2;24;22;1
79100;1;11;31;1
72023;1;6;6;1
82139;1;28;28;1
10568;3;15;15;1
32078;2;30;26;1
43015;2;9;9;1
10905;1;32;2;1
9842;1;22;21;1
15602;3;7;7;1
9131;3;1;21;1
8251;3;1;13;1
4083;4;23;1;1
63039;1;37;28;1
25507;1;11;31;1
10073;3;15;15;1
80023;3;39;31;1
72162;1;28;27;1
18040;3;2;31;1
98017;1;31;3;1
22841;1;32;2;1
23887;1;32;14;1
80091;1;21;19;1
18044;3;2;31;1
39059;2;30;26;1
14829;4;27;24;1
75039;3;36;6;1
88023;1;28;27;1
10911;3;2;31;1
96071;5;40;32;1
92045;1;3;3;1
91237;1;3;20;1
87031;1;14;14;1
5007;4;23;1;1
17110;3;13;13;1
12314;3;13;13;1
48243;3;35;9;1
28008;2;30;26;1
40854;2;12;12;1
79028;1;11;31;1
61288;1;18;5;1
91293;1;3;3;1
31037;2;30;26;1
91259;5;31;32;1
94041;5;31;3;1
33119;2;30;26;1
22008;1;2;2;1
88109;1;21;19;1
61375;1;37;5;1
9573;1;4;33;1
5008;4;23;1;1
91223;1;31;3;1
17126;3;13;13;1
88043;1;21;11;1
40126;2;12;12;1
14704;4;27;24;1
14274;2;24;22;1
7045;3;7;7;1
86282;1;14;14;1
94201;1;29;25;1
47019;3;13;13;1
24518;1;33;2;1
69147;1;5;17;1
200001;2;30;26;1
76031;3;39;31;1
42112;3;35;9;1
18195;3;2;31;1
43020;3;35;9;1
39104;2;9;9;1
86077;1;34;14;1
8296;3;41;13;1
90176;1;3;11;1
69148;1;5;17;1
69018;1;5;17;1
85280;1;34;11;1
23733;1;32;11;1
63292;1;26;28;1
83024;5;38;30;1
1018;4;24;24;1
26021;1;3;14;1
83085;5;38;30;1
29127;4;7;7;1
7600;3;41;13;1
85296;1;28;28;1
97085;5;40;32;1
62101;1;6;29;1
8095;3;41;13;1
52020;3;35;9;1
6099;3;41;13;1
24521;3;2;31;1
26099;1;32;11;1
10612;3;15;15;1
69022;1;5;17;1
74148;3;36;6;1
10614;1;2;31;1
61054;1;17;18;1
18115;1;33;4;1
61055;1;17;18;1
14517;2;24;22;1
12009;3;39;31;1
18192;1;33;2;1
10111;3;15;15;1
18106;3;16;2;1
23373;1;11;11;1
41359;3;9;9;1
17043;3;13;13;1
63254;1;26;23;1
63303;1;26;23;1
92027;1;3;20;1
95048;1;29;25;1
7185;4;23;1;1
23875;1;3;3;1
4028;4;23;1;1
65068;1;6;29;1
66124;1;18;5;1
61250;1;18;5;1
9592;1;4;33;1
67113;1;18;5;1
9021;1;22;21;1
10626;3;2;31;1
14142;4;24;22;1
200731;4;24;22;1
4032;4;23;1;1
14948;4;24;22;1
60139;2;17;5;1
90171;1;3;20;1
22015;3;2;2;1
33247;2;8;8;1
55049;1;20;29;1
15666;4;7;7;1
88051;1;21;11;1
24048;3;39;31;1
86373;1;34;3;1
30161;4;7;7;1
67105;1;18;5;1
26026;1;32;4;1
39083;2;19;8;1
9964;1;4;33;1
39085;2;12;26;1
61363;1;20;29;1
86104;1;34;14;1
97083;5;40;32;1
91219;1;31;20;1
39314;2;12;26;1
9968;1;4;33;1
91291;1;31;20;1
87168;1;3;14;1
81125;1;21;19;1
12320;3;15;15;1
35065;2;19;9;1
43109;3;35;9;1
41095;1;10;10;1
79105;1;21;11;1
22049;1;33;4;1
97072;5;31;32;1
24580;1;33;2;1
82042;1;28;27;1
97053;5;40;32;1
40861;2;12;16;1
77094;3;39;31;1
9215;1;22;21;1
66037;1;17;18;1
57095;1;37;5;1
35069;3;35;9;1
55325;1;20;29;1
70080;1;26;23;1
16098;3;13;13;1
81049;1;21;19;1
13030;4;23;1;1
15135;4;27;7;1
56032;1;10;10;1
15643;3;7;7;1
40908;2;12;16;1
39089;2;9;9;1
71032;5;38;30;1
46126;3;13;13;1
14932;4;24;24;1
41529;1;9;5;1
32040;2;8;8;1
70339;1;26;23;1
94195;1;29;25;1
40082;2;9;9;1
14825;4;27;24;1
72150;1;6;6;1
52088;3;35;9;1
31108;2;8;8;1
76064;3;39;31;1
10917;1;22;31;1
13011;3;7;7;1
22018;1;33;2;1
90186;1;3;14;1
14401;2;24;22;1
15652;3;7;7;1
14840;4;27;24;1
27045;4;24;22;1
65034;1;20;29;1
50017;3;36;6;1
18120;3;39;2;1
85096;1;31;3;1
9871;1;4;4;1
8137;3;15;15;1
86127;1;34;14;1
33307;2;8;8;1
18083;3;2;31;1
91107;1;31;20;1
58012;2;17;16;1
74037;3;36;6;1
81124;1;6;19;1
33294;2;12;26;1
19062;3;11;31;1
10311;3;15;15;1
73138;1;6;29;1
20062;3;39;31;1
16065;3;13;13;0
2064;4;27;24;0
56037;1;26;23;0
56238;1;26;23;0
67108;1;18;5;0
89002;1;3;25;0
49002;3;39;31;0
5094;3;23;1;0
14272;4;24;22;0
63005;1;26;23;0
63291;1;26;23;0
10515;3;15;15;0
44010;3;35;9;0
48015;3;35;13;0
10524;3;15;15;0
96003;5;40;32;0
72161;5;40;32;0
68192;1;18;5;0
37010;4;27;7;0
94198;1;31;3;0
40043;1;12;26;0
90015;1;3;3;0
6011;3;1;1;0
13015;3;7;7;0
58208;2;12;5;0
14703;2;24;22;0
18014;1;2;2;0
29141;4;27;7;0
48031;3;35;9;0
33013;2;8;7;0
50052;3;36;6;0
16090;3;13;13;0
64008;1;6;29;0
51161;3;9;9;0
3057;4;23;1;0
8297;3;15;15;0
74258;3;39;31;0
1025;4;24;24;0
65070;1;20;29;0
14277;4;24;22;0
64009;1;20;29;0
9538;1;22;21;0
85072;1;34;14;0
80015;3;11;19;0
88164;1;28;28;0
18069;1;33;2;0
16097;3;13;13;0
9542;1;22;2;0
11003;3;16;2;0
3093;4;23;24;0
11052;3;13;13;0
92114;1;3;20;0
13017;3;7;7;0
9178;1;22;21;0
39326;2;19;8;0
9106;1;1;21;0
70330;1;26;23;0
70263;1;26;23;0
14508;2;24;22;0
75041;3;36;6;0
40093;2;12;12;0
19017;3;39;31;0
40405;2;12;12;0
67119;1;18;5;0
56242;1;37;29;0
56018;1;20;5;0
36026;4;7;7;0
14198;4;24;22;0
9172;1;22;21;0
12038;3;13;13;0
1019;4;24;24;0
9111;1;22;21;0
10916;1;11;21;0
29038;4;24;22;0
94087;5;40;32;0
2056;4;27;24;0
92019;1;40;32;0
47016;3;39;31;0
9114;1;1;21;0
12305;3;13;13;0
36031;4;7;7;0
24024;3;39;31;0
33045;2;30;8;0
84084;1;5;17;0
4019;4;23;1;0
10092;3;15;15;0
69017;1;5;4;0
17123;3;13;13;0
53115;3;9;9;0
9581;1;32;14;0
85291;5;38;30;0
23878;1;32;14;0
84144;1;34;28;0
58158;2;12;12;0
61390;1;17;5;0
10692;3;11;31;0
7176;4;7;7;0
61366;1;17;18;0
62100;1;26;28;0
10622;1;33;2;0
5017;4;23;1;0
76047;3;39;31;0
28004;4;24;24;0
23013;3;2;2;0
7139;3;41;13;0
50031;1;9;6;0
9053;1;1;21;0
9225;1;22;21;0
54104;1;20;29;0
40209;2;12;26;0
90175;1;3;3;0
10633;1;33;2;0
43091;3;35;9;0
23122;3;2;31;0
93053;1;29;25;0
9193;1;22;4;0
16096;3;13;13;0
82039;1;21;29;0
12071;3;16;31;0
33308;2;12;12;0
91292;1;31;20;0
21133;3;2;31;0
32037;2;30;26;0
59030;2;17;16;0
18079;3;2;2;0
43035;3;35;9;0
60141;1;17;5;0
35070;2;35;9;0
41100;2;9;9;0
45025;3;7;7;0
71041;5;40;32;0
74106;1;6;6;0
51049;3;36;6;0
1007;2;24;22;0
72043;1;28;27;0
69138;1;37;18;0
86068;1;34;14;0
10647;3;2;31;0
88162;1;28;20;0
48079;3;13;13;0
82138;1;21;29;0
2032;4;27;24;0
41525;1;9;29;0
61078;1;17;5;0
9746;1;4;21;0
55136;1;26;23;0
16001;3;13;13;0
60085;2;37;5;0
15635;3;13;13;0
